"agency_cd"	"site_no"	"Date"	"Flow"	"Flow_cd"
"USGS"	"01509000"	1938-05-20	334	"A"
"USGS"	"01509000"	1938-05-21	345	"A"
"USGS"	"01509000"	1938-05-22	307	"A"
"USGS"	"01509000"	1938-05-23	274	"A"
"USGS"	"01509000"	1938-05-24	289	"A"
"USGS"	"01509000"	1938-05-25	314	"A"
"USGS"	"01509000"	1938-05-26	264	"A"
"USGS"	"01509000"	1938-05-27	236	"A"
"USGS"	"01509000"	1938-05-28	213	"A"
"USGS"	"01509000"	1938-05-29	203	"A"
"USGS"	"01509000"	1938-05-30	194	"A"
"USGS"	"01509000"	1938-05-31	184	"A"
"USGS"	"01509000"	1938-06-01	170	"A"
"USGS"	"01509000"	1938-06-02	161	"A"
"USGS"	"01509000"	1938-06-03	172	"A"
"USGS"	"01509000"	1938-06-04	160	"A"
"USGS"	"01509000"	1938-06-05	149	"A"
"USGS"	"01509000"	1938-06-06	142	"A"
"USGS"	"01509000"	1938-06-07	138	"A"
"USGS"	"01509000"	1938-06-08	138	"A"
"USGS"	"01509000"	1938-06-09	128	"A"
"USGS"	"01509000"	1938-06-10	116	"A"
"USGS"	"01509000"	1938-06-11	113	"A"
"USGS"	"01509000"	1938-06-12	134	"A"
"USGS"	"01509000"	1938-06-13	210	"A"
"USGS"	"01509000"	1938-06-14	161	"A"
"USGS"	"01509000"	1938-06-15	136	"A"
"USGS"	"01509000"	1938-06-16	116	"A"
"USGS"	"01509000"	1938-06-17	107	"A"
"USGS"	"01509000"	1938-06-18	100	"A"
"USGS"	"01509000"	1938-06-19	99	"A"
"USGS"	"01509000"	1938-06-20	97	"A"
"USGS"	"01509000"	1938-06-21	93	"A"
"USGS"	"01509000"	1938-06-22	85	"A"
"USGS"	"01509000"	1938-06-23	84	"A"
"USGS"	"01509000"	1938-06-24	80	"A"
"USGS"	"01509000"	1938-06-25	73	"A"
"USGS"	"01509000"	1938-06-26	78	"A"
"USGS"	"01509000"	1938-06-27	93	"A"
"USGS"	"01509000"	1938-06-28	88	"A"
"USGS"	"01509000"	1938-06-29	77	"A"
"USGS"	"01509000"	1938-06-30	74	"A"
"USGS"	"01509000"	1938-07-01	77	"A"
"USGS"	"01509000"	1938-07-02	81	"A"
"USGS"	"01509000"	1938-07-03	74	"A"
"USGS"	"01509000"	1938-07-04	72	"A"
"USGS"	"01509000"	1938-07-05	70	"A"
"USGS"	"01509000"	1938-07-06	67	"A"
"USGS"	"01509000"	1938-07-07	65	"A"
"USGS"	"01509000"	1938-07-08	61	"A"
"USGS"	"01509000"	1938-07-09	58	"A"
"USGS"	"01509000"	1938-07-10	54	"A"
"USGS"	"01509000"	1938-07-11	59	"A"
"USGS"	"01509000"	1938-07-12	68	"A"
"USGS"	"01509000"	1938-07-13	67	"A"
"USGS"	"01509000"	1938-07-14	61	"A"
"USGS"	"01509000"	1938-07-15	76	"A"
"USGS"	"01509000"	1938-07-16	68	"A"
"USGS"	"01509000"	1938-07-17	56	"A"
"USGS"	"01509000"	1938-07-18	63	"A"
"USGS"	"01509000"	1938-07-19	58	"A"
"USGS"	"01509000"	1938-07-20	59	"A"
"USGS"	"01509000"	1938-07-21	82	"A"
"USGS"	"01509000"	1938-07-22	159	"A"
"USGS"	"01509000"	1938-07-23	100	"A"
"USGS"	"01509000"	1938-07-24	78	"A"
"USGS"	"01509000"	1938-07-25	76	"A"
"USGS"	"01509000"	1938-07-26	72	"A"
"USGS"	"01509000"	1938-07-27	63	"A"
"USGS"	"01509000"	1938-07-28	59	"A"
"USGS"	"01509000"	1938-07-29	63	"A"
"USGS"	"01509000"	1938-07-30	58	"A"
"USGS"	"01509000"	1938-07-31	47	"A"
"USGS"	"01509000"	1938-08-01	56	"A"
"USGS"	"01509000"	1938-08-02	52	"A"
"USGS"	"01509000"	1938-08-03	49	"A"
"USGS"	"01509000"	1938-08-04	49	"A"
"USGS"	"01509000"	1938-08-05	54	"A"
"USGS"	"01509000"	1938-08-06	49	"A"
"USGS"	"01509000"	1938-08-07	42	"A"
"USGS"	"01509000"	1938-08-08	51	"A"
"USGS"	"01509000"	1938-08-09	49	"A"
"USGS"	"01509000"	1938-08-10	51	"A"
"USGS"	"01509000"	1938-08-11	178	"A"
"USGS"	"01509000"	1938-08-12	114	"A"
"USGS"	"01509000"	1938-08-13	82	"A"
"USGS"	"01509000"	1938-08-14	68	"A"
"USGS"	"01509000"	1938-08-15	72	"A"
"USGS"	"01509000"	1938-08-16	63	"A"
"USGS"	"01509000"	1938-08-17	202	"A"
"USGS"	"01509000"	1938-08-18	1680	"A"
"USGS"	"01509000"	1938-08-19	749	"A"
"USGS"	"01509000"	1938-08-20	388	"A"
"USGS"	"01509000"	1938-08-21	274	"A"
"USGS"	"01509000"	1938-08-22	999	"A"
"USGS"	"01509000"	1938-08-23	867	"A"
"USGS"	"01509000"	1938-08-24	582	"A"
"USGS"	"01509000"	1938-08-25	409	"A"
"USGS"	"01509000"	1938-08-26	314	"A"
"USGS"	"01509000"	1938-08-27	274	"A"
"USGS"	"01509000"	1938-08-28	253	"A"
"USGS"	"01509000"	1938-08-29	224	"A"
"USGS"	"01509000"	1938-08-30	200	"A"
"USGS"	"01509000"	1938-08-31	195	"A"
"USGS"	"01509000"	1938-09-01	168	"A"
"USGS"	"01509000"	1938-09-02	163	"A"
"USGS"	"01509000"	1938-09-03	148	"A"
"USGS"	"01509000"	1938-09-04	149	"A"
"USGS"	"01509000"	1938-09-05	133	"A"
"USGS"	"01509000"	1938-09-06	124	"A"
"USGS"	"01509000"	1938-09-07	129	"A"
"USGS"	"01509000"	1938-09-08	162	"A"
"USGS"	"01509000"	1938-09-09	138	"A"
"USGS"	"01509000"	1938-09-10	119	"A"
"USGS"	"01509000"	1938-09-11	115	"A"
"USGS"	"01509000"	1938-09-12	112	"A"
"USGS"	"01509000"	1938-09-13	194	"A"
"USGS"	"01509000"	1938-09-14	200	"A"
"USGS"	"01509000"	1938-09-15	375	"A"
"USGS"	"01509000"	1938-09-16	341	"A"
"USGS"	"01509000"	1938-09-17	278	"A"
"USGS"	"01509000"	1938-09-18	296	"A"
"USGS"	"01509000"	1938-09-19	287	"A"
"USGS"	"01509000"	1938-09-20	296	"A"
"USGS"	"01509000"	1938-09-21	646	"A"
"USGS"	"01509000"	1938-09-22	2070	"A"
"USGS"	"01509000"	1938-09-23	2350	"A"
"USGS"	"01509000"	1938-09-24	1880	"A"
"USGS"	"01509000"	1938-09-25	1220	"A"
"USGS"	"01509000"	1938-09-26	886	"A"
"USGS"	"01509000"	1938-09-27	721	"A"
"USGS"	"01509000"	1938-09-28	649	"A"
"USGS"	"01509000"	1938-09-29	537	"A"
"USGS"	"01509000"	1938-09-30	468	"A"
"USGS"	"01509000"	1938-10-01	417	"A"
"USGS"	"01509000"	1938-10-02	372	"A"
"USGS"	"01509000"	1938-10-03	338	"A"
"USGS"	"01509000"	1938-10-04	312	"A"
"USGS"	"01509000"	1938-10-05	290	"A"
"USGS"	"01509000"	1938-10-06	272	"A"
"USGS"	"01509000"	1938-10-07	255	"A"
"USGS"	"01509000"	1938-10-08	232	"A"
"USGS"	"01509000"	1938-10-09	228	"A"
"USGS"	"01509000"	1938-10-10	219	"A"
"USGS"	"01509000"	1938-10-11	203	"A"
"USGS"	"01509000"	1938-10-12	201	"A"
"USGS"	"01509000"	1938-10-13	195	"A"
"USGS"	"01509000"	1938-10-14	179	"A"
"USGS"	"01509000"	1938-10-15	157	"A"
"USGS"	"01509000"	1938-10-16	156	"A"
"USGS"	"01509000"	1938-10-17	149	"A"
"USGS"	"01509000"	1938-10-18	141	"A"
"USGS"	"01509000"	1938-10-19	142	"A"
"USGS"	"01509000"	1938-10-20	162	"A"
"USGS"	"01509000"	1938-10-21	167	"A"
"USGS"	"01509000"	1938-10-22	156	"A"
"USGS"	"01509000"	1938-10-23	148	"A"
"USGS"	"01509000"	1938-10-24	150	"A"
"USGS"	"01509000"	1938-10-25	177	"A"
"USGS"	"01509000"	1938-10-26	166	"A"
"USGS"	"01509000"	1938-10-27	146	"A"
"USGS"	"01509000"	1938-10-28	143	"A"
"USGS"	"01509000"	1938-10-29	133	"A"
"USGS"	"01509000"	1938-10-30	132	"A"
"USGS"	"01509000"	1938-10-31	126	"A"
"USGS"	"01509000"	1938-11-01	123	"A"
"USGS"	"01509000"	1938-11-02	118	"A"
"USGS"	"01509000"	1938-11-03	115	"A"
"USGS"	"01509000"	1938-11-04	114	"A"
"USGS"	"01509000"	1938-11-05	111	"A"
"USGS"	"01509000"	1938-11-06	117	"A"
"USGS"	"01509000"	1938-11-07	116	"A"
"USGS"	"01509000"	1938-11-08	117	"A"
"USGS"	"01509000"	1938-11-09	149	"A"
"USGS"	"01509000"	1938-11-10	154	"A"
"USGS"	"01509000"	1938-11-11	137	"A"
"USGS"	"01509000"	1938-11-12	123	"A"
"USGS"	"01509000"	1938-11-13	127	"A"
"USGS"	"01509000"	1938-11-14	170	"A"
"USGS"	"01509000"	1938-11-15	164	"A"
"USGS"	"01509000"	1938-11-16	151	"A"
"USGS"	"01509000"	1938-11-17	157	"A"
"USGS"	"01509000"	1938-11-18	186	"A"
"USGS"	"01509000"	1938-11-19	319	"A"
"USGS"	"01509000"	1938-11-20	508	"A"
"USGS"	"01509000"	1938-11-21	451	"A"
"USGS"	"01509000"	1938-11-22	404	"A"
"USGS"	"01509000"	1938-11-23	368	"A"
"USGS"	"01509000"	1938-11-24	320	"A"
"USGS"	"01509000"	1938-11-25	260	"A"
"USGS"	"01509000"	1938-11-26	245	"A"
