utc	local	flow
2005-04-02T05:01:00Z	 2005-04-02 00:01:00.000	9436.730696
2005-04-02T05:31:00Z	 2005-04-02 00:31:00.000	9461.323841
2005-04-02T06:01:00Z	 2005-04-02 01:01:00.000	9436.730696
2005-04-02T06:31:00Z	 2005-04-02 01:31:00.000	9412.165636
2005-04-02T07:01:00Z	 2005-04-02 02:01:00.000	9387.62867
2005-04-02T07:31:00Z	 2005-04-02 02:31:00.000	9363.119806
2005-04-02T08:01:00Z	 2005-04-02 03:01:00.000	9338.639054
2005-04-02T08:31:00Z	 2005-04-02 03:31:00.000	9265.365561
2005-04-02T09:01:00Z	 2005-04-02 04:01:00.000	9216.657291
2005-04-02T09:31:00Z	 2005-04-02 04:31:00.000	9168.061685
2005-04-02T10:01:00Z	 2005-04-02 05:01:00.000	9119.578818
2005-04-02T10:31:00Z	 2005-04-02 05:31:00.000	9071.208762
2005-04-02T11:01:00Z	 2005-04-02 06:01:00.000	9022.951591
2005-04-02T11:31:00Z	 2005-04-02 06:31:00.000	8974.807379
2005-04-02T12:01:00Z	 2005-04-02 07:01:00.000	8926.7762
2005-04-02T12:31:00Z	 2005-04-02 07:31:00.000	8878.858129
2005-04-02T13:01:00Z	 2005-04-02 08:01:00.000	8854.941531
2005-04-02T13:31:00Z	 2005-04-02 08:31:00.000	8854.941531
2005-04-02T14:01:00Z	 2005-04-02 09:01:00.000	8831.053239
2005-04-02T14:31:00Z	 2005-04-02 09:31:00.000	8878.858129
2005-04-02T15:01:00Z	 2005-04-02 10:01:00.000	8902.803021
2005-04-02T15:31:00Z	 2005-04-02 10:31:00.000	8974.807379
2005-04-02T16:01:00Z	 2005-04-02 11:01:00.000	9047.066061
2005-04-02T16:31:00Z	 2005-04-02 11:31:00.000	9168.061685
2005-04-02T17:01:00Z	 2005-04-02 12:01:00.000	9338.639054
2005-04-02T17:31:00Z	 2005-04-02 12:31:00.000	9535.271696
2005-04-02T18:01:00Z	 2005-04-02 13:01:00.000	9833.585148
2005-04-02T18:31:00Z	 2005-04-02 13:31:00.000	10186.70219
2005-04-02T19:01:00Z	 2005-04-02 14:01:00.000	10493.7152
2005-04-02T19:31:00Z	 2005-04-02 14:31:00.000	10778.65096
2005-04-02T20:01:00Z	 2005-04-02 15:01:00.000	11066.93006
2005-04-02T20:31:00Z	 2005-04-02 15:31:00.000	11358.54169
2005-04-02T21:01:00Z	 2005-04-02 16:01:00.000	11626.52611
2005-04-02T21:31:00Z	 2005-04-02 16:31:00.000	11897.24808
2005-04-02T22:01:00Z	 2005-04-02 17:01:00.000	12170.69989
2005-04-02T22:31:00Z	 2005-04-02 17:31:00.000	12474.64077
2005-04-02T23:01:00Z	 2005-04-02 18:01:00.000	12838.07674
2005-04-02T23:31:00Z	 2005-04-02 18:31:00.000	13320.23314
2005-04-03T00:01:00Z	 2005-04-02 19:01:00.000	13839.23168
2005-04-03T00:31:00Z	 2005-04-02 19:31:00.000	14604.21374
2005-04-03T01:01:00Z	 2005-04-02 20:01:00.000	15570.42236
2005-04-03T01:31:00Z	 2005-04-02 20:31:00.000	16532.23139
2005-04-03T02:01:00Z	 2005-04-02 21:01:00.000	17551.49384
2005-04-03T02:31:00Z	 2005-04-02 21:31:00.000	18432.23554
2005-04-03T03:01:00Z	 2005-04-02 22:01:00.000	19096.80281
2005-04-03T03:31:00Z	 2005-04-02 22:31:00.000	19635.87752
2005-04-03T04:01:00Z	 2005-04-02 23:01:00.000	19805.68719
2005-04-03T04:31:00Z	 2005-04-02 23:31:00.000	19839.72608
2005-04-03T05:01:00Z	 2005-04-03 00:01:00.000	19771.67394
2005-04-03T05:31:00Z	 2005-04-03 00:31:00.000	19703.72441
2005-04-03T06:01:00Z	 2005-04-03 01:01:00.000	19601.99259
2005-04-03T06:31:00Z	 2005-04-03 01:31:00.000	19365.51727
2005-04-03T07:01:00Z	 2005-04-03 02:01:00.000	19298.18426
2005-04-03T07:31:00Z	 2005-04-03 02:31:00.000	19298.18426
2005-04-03T08:01:00Z	 2005-04-03 03:01:00.000	19130.30202
2005-04-03T08:31:00Z	 2005-04-03 03:31:00.000	18730.01286
2005-04-03T09:01:00Z	 2005-04-03 04:01:00.000	18996.45976
2005-04-03T09:31:00Z	 2005-04-03 04:31:00.000	18896.3487
2005-04-03T10:01:00Z	 2005-04-03 05:01:00.000	19029.88167
2005-04-03T10:31:00Z	 2005-04-03 05:31:00.000	18963.06362
2005-04-03T11:01:00Z	 2005-04-03 06:01:00.000	18896.3487
2005-04-03T11:31:00Z	 2005-04-03 06:31:00.000	18829.73695
2005-04-03T12:01:00Z	 2005-04-03 07:01:00.000	18796.46977
2005-04-03T12:31:00Z	 2005-04-03 07:31:00.000	18963.06362
2005-04-03T13:01:00Z	 2005-04-03 08:01:00.000	18996.45976
2005-04-03T13:31:00Z	 2005-04-03 08:31:00.000	18929.69327
